part_desc,target_life,avg_life,total_scrap,n_below_target,max_life,min_life,part_number,bladder_type,size_in
"MTG bladder 8"" 0216-1-1074",630.0,1764.0,1.0,0.0,1764.0,1764.0,0216-1-1074,MTG,8.0
"MTG bladder 22""23"" 0216-1-1666",400.0,457.6595744680851,47.0,19.0,1061.0,15.0,0216-1-1666,MTG,22.0
"MTG bladder 22""23"" 0216-1-1294",400.0,231.0,2.0,2.0,300.0,162.0,0216-1-1294,MTG,22.0
"MTG Bladder 16"" 0216-1-1266",630.0,815.0,4.0,1.0,981.0,497.0,0216-1-1266,MTG,16.0
"MTG bladder 15"" 0216-1-1134",630.0,5596.0,2.0,0.0,7783.0,3409.0,0216-1-1134,MTG,15.0
"MTG bladder 10""12"" 0216-1-1068",630.0,3781.0,4.0,0.0,8590.0,830.0,0216-1-1068,MTG,10.0
MTG bladder 0216-1-1670,890.0,909.6,15.0,7.0,1735.0,237.0,0216-1-1670,MTG,
"Bladder turnup 8"" 0239-1-1137",290.0,223.88235294117646,51.0,46.0,673.0,57.0,0239-1-1137,Turnup,8.0
"Bladder turnup 6"" 0181-1-1697",180.0,135.0,1.0,1.0,135.0,135.0,0181-1-1697,Turnup,6.0
"Bladder turnup 22"" 0137-1-1033",300.0,3197.5714285714284,7.0,1.0,7186.0,218.0,0137-1-1033,Turnup,22.0
"Bladder turnup 20"" 0137-1-1023",1000.0,1859.3846153846155,39.0,15.0,12951.0,73.0,0137-1-1023,Turnup,20.0
"Bladder turnup 16 "" 0137-1-1051",440.0,3127.0,1.0,0.0,3127.0,3127.0,0137-1-1051,Turnup,16.0
"Bladder turnup 15"" 0114-1-1033 Part store",540.0,899.3076923076923,52.0,31.0,3607.0,34.0,0114-1-1033,Turnup,15.0
"Bladder turnup 15"" 0114-1-1032",1110.0,2291.0,12.0,3.0,5556.0,747.0,0114-1-1032,Turnup,15.0
"Bladder turnup 12"" 0239-1-1128",680.0,1282.551724137931,29.0,11.0,11220.0,243.0,0239-1-1128,Turnup,12.0
"Bladder turnup 10 "" 0239-1-1094 part store",400.0,566.2857142857143,42.0,17.0,3113.0,88.0,0239-1-1094,Turnup,10.0
"Bladder Turn up 21"" 0137-1-1070",830.0,698.9333333333333,15.0,9.0,1266.0,99.0,0137-1-1070,Turnup,21.0
"Bladder turmup 14"" 0239-1-1112",570.0,1479.8333333333333,24.0,6.0,4547.0,266.0,0239-1-1112,Turnup,14.0
"Bladder trunup23""0137-1-1036",450.0,1184.9285714285713,42.0,18.0,5832.0,21.0,0137-1-1036,Turnup,23.0
"Bladder push23""0136-1-1036",450.0,3795.5714285714284,7.0,0.0,5076.0,1751.0,0136-1-1036,Push,23.0
"Bladder push 22"" 0136-1-1033",630.0,3216.5,8.0,0.0,5076.0,982.0,0136-1-1033,Push,22.0
"Bladder push 21"" 0136-1-1070",1680.0,1612.3333333333333,3.0,2.0,3059.0,397.0,0136-1-1070,Push,21.0
"Bladder push 20"" 0136-1-1023",1525.0,3656.235294117647,17.0,6.0,8291.0,61.0,0136-1-1023,Push,20.0
Bladder MTG 0216-1-1638,420.0,519.0,3.0,2.0,893.0,255.0,0216-1-1638,MTG,
"Blabber trumup21"" 0137-1-1070",830.0,499.5,2.0,2.0,641.0,358.0,0137-1-1070,Turnup,21.0
